
UUJ170630_matabat2bin_435_proteins.faa	genome1
UUJ170927_matabat2bin_183_proteins.faa	genome1005
UUJ170927_matabat2bin_129_proteins.faa	genome1006
105_Orange-spotted_grouper_iridovirus_proteins.faa	genome1007
UUJ170927_matabat2bin_24_decontaminated_proteins.faa	genome1008
UUJ170626_matabat2bin_11_proteins.faa	genome1009
UUJ170626_matabat2bin_44_proteins.faa	genome1010
028_Emiliania_huxleyi_virus_86_proteins.faa	genome1011
UUJ171113_matabat2bin_118_proteins.faa	genome1012
UUJ180219_matabat2bin_193_proteins.faa	genome1013
UUJ180827_matabat2bin_369_decontaminated_proteins.faa	genome1014
UUJ180219_matabat2bin_139_proteins.faa	genome1015
UUJ180827_matabat2bin_431_proteins.faa	genome1016
UUJ171218_matabat2bin_24_proteins.faa	genome1017
040_Pandoravirus_dulcis_proteins.faa	genome1018
UUJ170620_matabat2bin_41_proteins.faa	genome1019
UUJ170927_matabat2bin_225_proteins.faa	genome1020
UUJ170927_matabat2bin_355_proteins.faa	genome1021
103_Lymphocystis_disease_virus_-_isolate_China_proteins.faa	genome1022
UUJ170804_matabat2bin_344_proteins.faa	genome1023
UUJ180827_matabat2bin_432_decontaminated_proteins.faa	genome1024
138_Moumouvirus_goulette_proteins.faa	genome1025
UUJ180815_matabat2bin_182_proteins.faa	genome1026
UUJ171218_matabat2bin_76_proteins.faa	genome1027
UUJ170630_matabat2bin_389_proteins.faa	genome1028
010_Aureococcus_anophagefferens_virus_isolate_BtV-01_proteins.faa	genome1029
UUJ180815_matabat2bin_413_proteins.faa	genome1030
UUJ180925_matabat2bin_7_proteins.faa	genome1031
UUJ170714_matabat2bin_47_proteins.faa	genome1032
UUJ170105_matabat2bin_298_proteins.faa	genome1033
UUJ170623_matabat2bin_35_proteins.faa	genome1034
UUJ171218_matabat2bin_339_proteins.faa	genome1035
UUJ170630_matabat2bin_324_proteins.faa	genome1036
UUJ170726_matabat2bin_259_proteins.faa	genome1037
UUJ170523_matabat2bin_62_proteins.faa	genome1038
084_Squirrelpox_virus_proteins.faa	genome1039
007_Chrysochromulina_ericina_virus_isolate_CeV-01B_proteins.faa	genome1040
UUJ180528_matabat2bin_294_proteins.faa	genome1041
UUJ180110_matabat2bin_127_proteins.faa	genome1042
UUF170621_matabat2bin_138_proteins.faa	genome1043
177_Cowpox_virus_proteins.faa	genome1044
UUJ180802_matabat2bin_345_proteins.faa	genome1045
UUJ180510_matabat2bin_255_proteins.faa	genome1046
UUJ170721_matabat2bin_302_proteins.faa	genome1047
UUJ180219_matabat2bin_181_proteins.faa	genome1048
UUJ180219_matabat2bin_81_proteins.faa	genome1049
UUJ180510_matabat2bin_453_proteins.faa	genome1050
UUJ170706_matabat2bin_250_proteins.faa	genome1051
UUJ180313_matabat2bin_61_proteins.faa	genome1052
UUJ170804_matabat2bin_304_proteins.faa	genome1053
UUJ170818_matabat2bin_295_decontaminated_proteins.faa	genome1054
095_Bohle_iridovirus_proteins.faa	genome1055
UUJ170615_matabat2bin_333_proteins.faa	genome1056
UUJ180510_matabat2bin_388_proteins.faa	genome1057
UUJ170615_matabat2bin_366_proteins.faa	genome1058
UUJ180510_matabat2bin_377_proteins.faa	genome1059
UUJ180629_matabat2bin_158_decontaminated_proteins.faa	genome1060
UUJ180219_matabat2bin_186_proteins.faa	genome1061
UUF170620_matabat2bin_325_proteins.faa	genome1062
UUJ170523_matabat2bin_172_proteins.faa	genome1063
UUJ170523_matabat2bin_127_proteins.faa	genome1064
UUJ170804_matabat2bin_303_proteins.faa	genome1065
UUJ171110_matabat2bin_162_decontaminated_proteins.faa	genome1066
UUJ180903_matabat2bin_130_proteins.faa	genome1067
174_Bovine_papular_stomatitis_virus_proteins.faa	genome1068
UUJ170412_matabat2bin_317_proteins.faa	genome1069
UUJ170412_matabat2bin_55_proteins.faa	genome1070
UUJ170105_matabat2bin_357_proteins.faa	genome1071
UUJ170630_matabat2bin_364_proteins.faa	genome1072
133_Megavirus_courdo7_proteins.faa	genome1073
UUM180827_matabat2bin_42_proteins.faa	genome1074
UUJ180809_matabat2bin_45_proteins.faa	genome1075
128_Noumeavirus_proteins.faa	genome1076
121_Invertebrate_iridescent_virus_30_proteins.faa	genome1077
UUJ180629_matabat2bin_277_decontaminated_proteins.faa	genome1078
UUJ170501_matabat2bin_351_proteins.faa	genome1079
UUJ170626_matabat2bin_354_proteins.faa	genome1080
UUJ170306_matabat2bin_81_proteins.faa	genome1081
UUJ170412_matabat2bin_298_proteins.faa	genome1082
UUJ180802_matabat2bin_220_proteins.faa	genome1083
UUM180827_matabat2bin_10_proteins.faa	genome1084
UUJ170620_matabat2bin_371_decontaminated_proteins.faa	genome1085
UUJ170726_matabat2bin_130_decontaminated_proteins.faa	genome1086
UUJ180219_matabat2bin_8_proteins.faa	genome1087
014_Hirudovirus_strain_Sangsue_proteins.faa	genome1088
122_Invertebrate_iridovirus_22_proteins.faa	genome1089
UUJ170721_matabat2bin_250_proteins.faa	genome1090
UUJ170706_matabat2bin_220_proteins.faa	genome1091
UUJ170804_matabat2bin_374_proteins.faa	genome1092
UUJ170630_matabat2bin_34_proteins.faa	genome1093
149_Emiliania_huxleyi_virus_18_proteins.faa	genome1094
UUJ180622_matabat2bin_2_proteins.faa	genome1095
UUJ170927_matabat2bin_330_proteins.faa	genome1096
UUJ180528_matabat2bin_26_proteins.faa	genome1097
UUJ180815_matabat2bin_74_proteins.faa	genome1098
UUJ180313_matabat2bin_6_proteins.faa	genome1099
UUJ170626_matabat2bin_196_proteins.faa	genome1100
UUJ170804_matabat2bin_43_proteins.faa	genome1101
UUJ170523_matabat2bin_157_proteins.faa	genome1102
UUJ171218_matabat2bin_41_proteins.faa	genome1103
UUJ180809_matabat2bin_121_proteins.faa	genome1104
UUJ180410_matabat2bin_368_proteins.faa	genome1105
UUJ180903_matabat2bin_140_proteins.faa	genome1106
UUJ170804_matabat2bin_141_decontaminated_proteins.faa	genome1107
UUJ170620_matabat2bin_228_proteins.faa	genome1108
026_Acanthocystis_turfacea_Chlorella_virus_1_proteins.faa	genome1109
UUJ170804_matabat2bin_139_proteins.faa	genome1110
UUJ180622_matabat2bin_421_proteins.faa	genome1111
UUJ170626_matabat2bin_201_proteins.faa	genome1112
UUJ170626_matabat2bin_389_proteins.faa	genome1113
UUJ170626_matabat2bin_203_decontaminated_proteins.faa	genome1114
UUJ170523_matabat2bin_348_proteins.faa	genome1115
UUJ180815_matabat2bin_300_proteins.faa	genome1116
UUJ180410_matabat2bin_188_proteins.faa	genome1117
UUM180827_matabat2bin_98_proteins.faa	genome1118
UUJ180809_matabat2bin_393_decontaminated_proteins.faa	genome1119
UUJ180622_matabat2bin_302_proteins.faa	genome1120
UUJ170523_matabat2bin_292_proteins.faa	genome1121
UUJ171113_matabat2bin_330_proteins.faa	genome1122
UUJ171113_matabat2bin_49_proteins.faa	genome1123
UUJ170105_matabat2bin_66_proteins.faa	genome1124
UUJ170626_matabat2bin_324_proteins.faa	genome1125
059_Spodoptera_frugiperda_ascovirus_1a_proteins.faa	genome1126
UUJ180622_matabat2bin_275_proteins.faa	genome1127
UUJ180815_matabat2bin_352_proteins.faa	genome1128
UUJ170721_matabat2bin_138_proteins.faa	genome1129
170_Adoxophyes_honmai_entomopoxvirus_L_proteins.faa	genome1130
UUM180827_matabat2bin_35_proteins.faa	genome1131
069_Frog_virus_3_proteins.faa	genome1132
UUJ170927_matabat2bin_373_decontaminated_proteins.faa	genome1133
UUJ180827_matabat2bin_247_proteins.faa	genome1134
UUJ170804_matabat2bin_399_proteins.faa	genome1135
UUJ170804_matabat2bin_333_proteins.faa	genome1136
UUJ170523_matabat2bin_336_decontaminated_proteins.faa	genome1137
UUJ180925_matabat2bin_132_proteins.faa	genome1138
UUJ170612_matabat2bin_81_proteins.faa	genome1139
UUJ180410_matabat2bin_64_proteins.faa	genome1140
UUJ180510_matabat2bin_312_proteins.faa	genome1141
UUJ180110_matabat2bin_39_proteins.faa	genome1142
UUJ180718_matabat2bin_18_proteins.faa	genome1143
UUJ180725_matabat2bin_341_proteins.faa	genome1144
UUJ180510_matabat2bin_463_proteins.faa	genome1145
162_Ostreococcus_mediterraneus_virus_1_proteins.faa	genome1146
094_Andrias_davidianus_ranavirus_proteins.faa	genome1147
UUF170620_matabat2bin_347_proteins.faa	genome1148
UUJ170721_matabat2bin_332_proteins.faa	genome1149
UUJ180629_matabat2bin_116_proteins.faa	genome1150
UUJ170306_matabat2bin_297_proteins.faa	genome1151
UUJ170620_matabat2bin_36_proteins.faa	genome1152
UUJ180827_matabat2bin_83_proteins.faa	genome1153
UUJ180827_matabat2bin_362_proteins.faa	genome1154
067_Scale_drop_disease_virus_proteins.faa	genome1155
UUJ180815_matabat2bin_312_proteins.faa	genome1156
UUF170621_matabat2bin_76_proteins.faa	genome1157
UUJ170927_matabat2bin_49_proteins.faa	genome1158
UUF170621_matabat2bin_23_proteins.faa	genome1159
UUJ170612_matabat2bin_368_proteins.faa	genome1160
UUJ170501_matabat2bin_334_proteins.faa	genome1161
UUJ180827_matabat2bin_128_proteins.faa	genome1162
UUJ170105_matabat2bin_242_proteins.faa	genome1163
UUJ170412_matabat2bin_62_proteins.faa	genome1164
UUJ170714_matabat2bin_136_proteins.faa	genome1165
UUF170620_matabat2bin_4_proteins.faa	genome1166
UUJ180802_matabat2bin_416_proteins.faa	genome1167
UUJ170726_matabat2bin_78_proteins.faa	genome1168
136_Samba_virus_proteins.faa	genome1169
158_Micromonas_pusilla_virus_12T_proteins.faa	genome1170
UUM180827_matabat2bin_27_proteins.faa	genome1171
UUJ170623_matabat2bin_328_proteins.faa	genome1172
UUJ180903_matabat2bin_38_proteins.faa	genome1173
UUF170621_matabat2bin_71_proteins.faa	genome1174
UUJ170105_matabat2bin_21_proteins.faa	genome1175
UUJ180827_matabat2bin_177_decontaminated_proteins.faa	genome1176
UUJ180802_matabat2bin_411_proteins.faa	genome1177
UUJ180802_matabat2bin_444_proteins.faa	genome1178
UUJ180510_matabat2bin_28_proteins.faa	genome1179
UUF170620_matabat2bin_3_proteins.faa	genome1180
UUJ171027_matabat2bin_231_proteins.faa	genome1181
UUJ180718_matabat2bin_374_proteins.faa	genome1182
UUJ170721_matabat2bin_24_proteins.faa	genome1183
UUJ170612_matabat2bin_181_decontaminated_proteins.faa	genome1184
UUJ170306_matabat2bin_107_proteins.faa	genome1185
UUJ180802_matabat2bin_360_proteins.faa	genome1186
UUJ170706_matabat2bin_203_proteins.faa	genome1187
UUJ170706_matabat2bin_256_proteins.faa	genome1188
UUF170621_matabat2bin_333_proteins.faa	genome1189
UUF170621_matabat2bin_9_proteins.faa	genome1190
UUJ170620_matabat2bin_224_decontaminated_proteins.faa	genome1191
UUJ180725_matabat2bin_43_proteins.faa	genome1192
UUJ180410_matabat2bin_319_proteins.faa	genome1193
UUJ180219_matabat2bin_178_proteins.faa	genome1194
UUJ170630_matabat2bin_185_proteins.faa	genome1195
UUJ180219_matabat2bin_187_proteins.faa	genome1196
120_Invertebrate_iridescent_virus_22_proteins.faa	genome1197
090_Heliothis_virescens_ascovirus_3j_proteins.faa	genome1198
UUJ180313_matabat2bin_60_proteins.faa	genome1199
043_Cedratvirus_Zaza_IHUMI_proteins.faa	genome1200
UUJ170615_matabat2bin_367_proteins.faa	genome1201
UUJ171027_matabat2bin_190_proteins.faa	genome1202
UUJ170804_matabat2bin_35_proteins.faa	genome1203
UUJ170927_matabat2bin_236_proteins.faa	genome1204
UUJ180725_matabat2bin_252_proteins.faa	genome1205
UUJ180827_matabat2bin_422_proteins.faa	genome1206
UUJ171110_matabat2bin_254_proteins.faa	genome1207
UUJ171113_matabat2bin_236_proteins.faa	genome1208
UUJ170412_matabat2bin_233_proteins.faa	genome1209
UUJ180815_matabat2bin_323_proteins.faa	genome1210
UUJ180313_matabat2bin_301_proteins.faa	genome1211
UUJ180802_matabat2bin_356_proteins.faa	genome1212
UUJ180219_matabat2bin_217_proteins.faa	genome1213
UUJ170105_matabat2bin_226_proteins.faa	genome1214
UUJ170620_matabat2bin_468_decontaminated_proteins.faa	genome1215
UUJ170927_matabat2bin_80_proteins.faa	genome1216
UUJ170105_matabat2bin_45_proteins.faa	genome1217
UUJ180622_matabat2bin_97_decontaminated_proteins.faa	genome1218
UUJ180313_matabat2bin_271_proteins.faa	genome1219
UUJ170306_matabat2bin_163_proteins.faa	genome1220
UUJ180802_matabat2bin_351_proteins.faa	genome1221
088_Heliothis_virescens_ascovirus_3g_proteins.faa	genome1222
UUJ170620_matabat2bin_369_proteins.faa	genome1223
163_Ostreococcus_tauri_virus_1_proteins.faa	genome1224
070_Singapore_grouper_iridovirus_proteins.faa	genome1225
UUJ180110_matabat2bin_249_proteins.faa	genome1226
UUJ171218_matabat2bin_10_decontaminated_proteins.faa	genome1227
UUJ180510_matabat2bin_363_proteins.faa	genome1228
109_Rock_bream_iridovirus_proteins.faa	genome1229
060_Armadillidium_vulgare_iridescent_virus_proteins.faa	genome1230
UUJ170630_matabat2bin_372_decontaminated_proteins.faa	genome1231
UUJ180313_matabat2bin_20_proteins.faa	genome1232
UUJ170630_matabat2bin_50_proteins.faa	genome1233
UUJ180219_matabat2bin_92_proteins.faa	genome1234
UUJ171218_matabat2bin_70_proteins.faa	genome1235
UUJ180410_matabat2bin_359_proteins.faa	genome1236
UUM171110_matabat2bin_176_proteins.faa	genome1237
UUJ171027_matabat2bin_182_proteins.faa	genome1238
118_Anopheles_minimus_irodovirus_proteins.faa	genome1239
UUJ180725_matabat2bin_85_decontaminated_proteins.faa	genome1240
UUJ170818_matabat2bin_329_proteins.faa	genome1241
UUJ180510_matabat2bin_415_proteins.faa	genome1242
UUJ180510_matabat2bin_59_proteins.faa	genome1243
UUJ180219_matabat2bin_39_decontaminated_proteins.faa	genome1244
UUJ170501_matabat2bin_91_proteins.faa	genome1245
123_Invertebrate_iridovirus_25_proteins.faa	genome1246
UUJ170714_matabat2bin_14_proteins.faa	genome1247
UUJ170306_matabat2bin_189_proteins.faa	genome1248
UUJ180802_matabat2bin_344_proteins.faa	genome1249
099_Epizootic_haematopoietic_necrosis_virus_proteins.faa	genome1250
UUJ171218_matabat2bin_127_decontaminated_proteins.faa	genome1251
154_Emiliania_huxleyi_virus_208_proteins.faa	genome1252
UUJ170105_matabat2bin_233_proteins.faa	genome1253
UUJ180802_matabat2bin_432_proteins.faa	genome1254
UUJ180622_matabat2bin_417_proteins.faa	genome1255
064_Aedes_taeniorhynchus_iridescent_virus_proteins.faa	genome1256
UUJ170501_matabat2bin_96_proteins.faa	genome1257
041_Mollivirus_sibericum_isolate_P1084-T_proteins.faa	genome1258
UUJ180510_matabat2bin_183_proteins.faa	genome1259
UUJ180802_matabat2bin_316_proteins.faa	genome1260
UUJ180802_matabat2bin_343_proteins.faa	genome1261
UUJ171113_matabat2bin_301_proteins.faa	genome1262
207_Carcinus_maenas_virus_1_proteins.faa	genome1263
UUJ170623_matabat2bin_61_proteins.faa	genome1264
UUJ180809_matabat2bin_51_proteins.faa	genome1265
UUJ170623_matabat2bin_34_proteins.faa	genome1266
UUJ180410_matabat2bin_141_proteins.faa	genome1267
UUJ170523_matabat2bin_31_proteins.faa	genome1268
UUJ180313_matabat2bin_263_proteins.faa	genome1269
UUJ180313_matabat2bin_236_proteins.faa	genome1270
UUJ170630_matabat2bin_388_proteins.faa	genome1271
UUJ180622_matabat2bin_14_proteins.faa	genome1272
UUJ170501_matabat2bin_310_proteins.faa	genome1273
